id,name,address,contact,Email Address, district,type,,
287,General Hospital Blood Centre Thrissur,"Round East, THRISSUR, Dist. Thrissur",9447010519,Iqraalabtplm@gmail.com,Govt.,Camps,,
288,General Hospital Ernakulam,"Ernakulam, Kerala , Ernakulam, Dist. Ernakulam",9567955213,rcpmhospital@gmail.com,Govt.,Camps,,
289,General Hospital Kottayam,"General Hospital Kottayam Kumily Road, Dist. Kottayam",9605147777,aluvabloodbank@gmail.com,Govt.,Camps,,
290,General Hospital  Pala,"Pala, Kottayam, Dist. Kottayam",9995034630,bloodbank@renaimedicity.org,Govt.,Camps,,
291,General Hospital Trivandrum,"Red Cross Rd Thiruvanathapuram, Thiruvanathapuram, Dist. Thiruvananthapuram",7736095899,rmdh2010@gmail.com,Govt.,Camps,,
292,Gimcare Hospital Blood Centre,"2nd floor, near to Dialysis centre, Kannur, Dist. Kannur",4742575050,shghospital@gmail.com,Private,Camps,,
293,Government General Hospital (Beach),"Government General Hospital, Beach Road, Kozhikode District, Kerala, Kozhikode, Dist. Kozhikode",9400960149,samaritanmcabb@gmail.com,Govt.,Camps,,
294,"Government Medical College, Kollam, Parippally","DEPARTMENT OF TRANSFUSION MEDICINE,                          GOVERNMENT MEDICAL COLLEGE, KOLLAM                           PARIPPALLY, KOLLAM DISTRICT, KERALA STATE , Government Medical College, Parippally, Kollam, Kollam, Dist. Kollam",484275481,sanjoeclaim@gmail.com,Govt.,Camps,,
295,Govt General Hospital Neyyattinkara,"Alummoodu, Neyyattinkara,  , Dist. Thiruvananthapuram",8921028487,santhihospital@gmail.com,Govt.,Camps,,
296,Govt Medical College,"HMT Colony, Kalamassery, Dist. Ernakulam",9446584850,ashishoommen85@gmail.com,Govt.,Camps,,
297,Govt TALUK HEAD QUARTERS HOSPITAL PUNALUR,"Medical officer BLOOD CENTRE GOVT.TALUK HEAD QUARTERS HOSPITAL PUNALUR KOLLAM KERALA, Punalur, Dist. Kollam",9400026079,ssnmmhospital@gmail.com,Govt.,Camps,,
298,Govt Women and Childrens Hospital,"kottaparamba, Kottapparamba, Dist. Kozhikode",9447189606,bloodcentre@smitahospital.com,Govt.,Camps,,
299,Holy Cross Hospital,"Kottiyam, Kollam, Dist. Kollam",9495466264,bbsgmc@gmail.com,Charitable/Vol,Camps,,
300,Holy Family Hospital,"Holy Family Hospital, Muthalakodam, Thodupuzha , Kerala, India, Thodupuzha , Dist. Idukki",9388442595,sutamsbloodcentre@gmail.com,Private,Camps,,
301,I.M.A Blood Bank Complex and Research Centre,"Padukkad Road, Mannumkad, Ramavarmapuram P.O., Thrissur, Dist. Thrissur",9495443966,srkachbb@gmail.com,Charitable/Vol,Camps,,
302,I.M.A.Blood Centre,"IMA Blood Centre, IMA Centre, Asramam, Kollam, IMA Blood centre, IMA Centre, Asramam, Kollam, Kollam, Dist. Kollam",8714349913,office@stjameshospital.co.in,Charitable/Vol,Camps,,
303,Immaculate Heart Of Mary Hospital Blood Centre,"Bharananganam Kottayam, Bharananganam, Dist. Kottayam",9747222967,stjosephhosp@gmail.com,Charitable/Vol,Camps,,
304,Indira Gandhi Co Operative Hospital,"Kadavanthra, Dist. Ernakulam",8086394404,stjosephlab21@gmail.com,Private,Camps,,
305,IQRAA Community Hospital,"Vazhakkad, Dist. Malappuram",9605717618,stmartinlab@gmail.com,Private,Camps,,
306,IQRAA Hospital Kottakkunnu,"Sulthan Bathery, Dist. Wayanad",9895541702,ponneytomcy1982@gmail.com,Private,Camps,,
307,Josgiri Hospital Blood Centre Kannur,"JOSGIRI HOSPITAL , THALASSERY , KANNUR, , THALASSERY, Dist. Kannur",9048791646,bloodcenterthqhottapalam@gmail.com,Charitable/Vol,Camps,,
308,Jubilee Memorial Hospital Blood Centre,"27-3178, Meads Lane, Palayam, Thiruvananthapuram, Dist. Thiruvananthapuram",9072398955,thkadakkal@gmail.com,Charitable/Vol,Camps,,
309,Kaduvayil Thangal Charitable Trust  Hospital,"Chathanpara Thottakkadu, Dist. Thiruvananthapuram",9847422501,bbktra@gmail.com,Charitable/Vol,Camps,,
310,Karuna Medical Collage Hospital Blood Bank,"Vilayodi, Chittur, , Palakkad, Dist. Palakkad",9846211192,bloodbanksbathery@gmail.com,Private,Camps,,
311,Kerala Medical College Hospital Run by Royal Medical Trust,"Mangode, Thrikkadeeri Ottappalam, Dist. Palakkad",7994759593,thkuttiady@gmail.com,Private,Camps,,
312,KIMSAT HOSPITAL,"KIMSAT HOSPITAL ,GOVINDAMANGALAM,KADAKKAL P.O., Kollam, Dist. Kollam",7025950401,coophospitaltly@gmail.com,Private,Camps,,
313,Kindorama Healthcare Pvt. Ltd.,"Pathadipalam, Kochi, Kochi, Dist. Ernakulam",9074215932,sahakaranavtk@yahoo.com,Private,Camps,,
314,Kodakara Santhi Hospital Private Ltd BSU,"Kodakara Santhi Hospital Private Ltd,Kodakara P.O, Thrissur, Kodakara, Dist. Thrissur",9539289450,transfusionmedicine@tmmhospital.org,Private,Camps,,
315,Koyas Hospital A Unit of MAK Hospital Pvt. Ltd,"Cheruvannur, Feroke, Dist. Kozhikode",9809769161,sariranjith88@gmail.com,Private,Camps,,
316,KTCT Hospital,"Chathampara, Thottakkadu Kallambalam, Dist. Thiruvananthapuram",04734-223377 9495300996,chvkdlab@gmail.com,Private,Camps,,
317,Lakeshore Hospital AND Research Centre Ltd,"Lakeshore hospital& research centre Ltd, Ernakulam, Dist. Ernakulam",0484ï¿½24020449562651527,bloodstorge070@gmail.com,Private,Camps,,
318,Lifeline Super Specialty Hospital,"14th Mile, Melood P.O, Adoor, Pathanamthitta, Dist. Pathanamthitta",9446121452,thqhpeermade@yahoo.in,Private,Camps,,
319,"Lisie Hospital, Lisie Medical Institution","Kathrikadavu, Kaloor, , Ernakulam, Dist. Ernakulam",91 9446036524 / 0484/4122231,bloodbank@tmc.ac.in,Private,Camps,,
320,Little Lourde Mission Hospital,"Kidagoor, Kottayam, Dist. Kottayam",490239922,unityhosp@gmail.com,Private,Camps,,
321,Lourdes Hospital  Ernakulam Kichin Kerala,"Lourdes Hospital Ernakulam Kochin , Ernakulam, Dist. Ernakulam",9656905333,valiyathhospitalbloodcentre@gmail.com,Charitable/Vol,Camps,,
322,Malabar Cancer Centre Society,"Kodiyeri,Thalassery, Muzhikkara - MCC Rd, Illathaazha, Thalassery, Dist. Kannur",9846556552,sylviasyriac@gmail.com,Govt.,Camps,,
323,Malabar Institute of Medical Sciences Blood Bank,"Malabar Institute of Medical  Sciences Ltd, Trichur road, Changuvetty , Kottakkal ( PO ), Kottakkal, Dist. Malappuram",9656677783,vsmbloodbank@gmail.com,Private,Camps,,
324,Malankara Orthodox Syrian Church Medical Mission Hospital,"MOSCMM HOSPITAL , CHOWANNUR P.O , ADUPPUTTY HILLS , KUNNAMKULAM, KUNNAMKULAM, Dist. Thrissur",8086061258,wfh.labb@gmail.com,Private,Camps,,
325,Mar Gregorios Muthoot Medical Centre Pathanamthitta,"XXV/434/2 2nd Floor Ring Road Pathanamthitta, Pathanamthitta, Dist. Pathanamthitta",0487-2290237 0487-2291853 7012806090,wcalpybb@gmail.com,Private,Camps,,
326,"Maria Theresa Hospital,Kuzhikkattussery","Maria Theresa Hospital, Kuzhikkattussery, P.O.Kuzhikkattussery,Thrissur,Kerala, Chalakudy, Dist. Thrissur",9847018866,aadhaarbloodbank@gmail.com,Charitable/Vol,Camps,,
327,Mary Immaculate Mission Hospital,"Chanthappadi, Polakkan, Engandiyoor, , Thrissur, Dist. Thrissur",8848096500,aarthibbtvl@gmail.com,Private,Camps,,
328,MBR Medical Trust Specialist Hospital,"Ernakulam North , Kochi, Dist. Ernakulam",8304845040,sondaviddear@gmail.com,Private,Camps,,
329,"Medical College Hospital Blood Centre, Alappuzha","Medical College Hospital Blood Bank, Vandanam, Dist. Alappuzha",4742721033,alangulambloodcentre@gmail.com,Govt.,Camps,,
330,Medical College Hospital Manjeri,"BLOOD CENTRE, GMCH MANJERI ,  MALAPPURAM, Manjeri, Dist. Malappuram",7356076771,annaibloodbank182@,Govt.,Camps,,
331,Meditrina Hospital Blood Bank,"Kollam - Ayoor Road, Ayathil, Kollam, Dist. Kollam",9656440107,annaiteresabloodbank@gmail.com,Private,Camps,,
332,MES Blood Centre,"MES Medical college and hospital Blood Centre, malapparambu, palachode (P O), Perinthalmanna, Dist. Malappuram",9747472795,bloodbankamch@gmail.com,Private,Camps,,
333,MJ Asha Multispeciality Hospital,"Villiappally PO, Dist. Kozhikode",8156984639 0480-26727000480-2672793,bloodbankmh_cni@apollohospitals.com,Private,Camps,,
334,MMC Hospital Blood Bank MODAKKALUR,"Modakkallur, Atholi, , Kozhikode, Dist. Kozhikode",9446209323,bloodbankkh26@gmail.com,Private,Camps,,
335,MODERN HOSPITAL CHARITIES BLOOD BANK,"MODERN HOSPITAL CHARITIES BLOOD BANK, MODERN HOSPITAL COMPLEX ,KODUNGALLUR, THRISSUR ,KERALA, KODUNGALLUR, Dist. Thrissur",9495115860,bloodbankash_cni@apollohospitals.com,Charitable/Vol,Camps,,
336,MOSC MEDICAL COLLAGE   HOSPITAL,"Medical College Road, PO kolencherry, , KOLENCHERY, Dist. Ernakulam",8714221738,bloodbank_mdu@apollohospitals.com,Private,Camps,,
337,Mother Hospital,"Pullazhi P.O., Olari, , Thrissur, Dist. Thrissur",9947161489,bloodbank.hosur@kauveryhospital.com,Private,Camps,,
338,M S Padmaiah Gowder Memorial General Hospital,"Kalpetta, Kainatty, Kalpetta North PO Vythiri, Dist. Wayanad",9745271596,ashok123.ak@gmail.com,Govt.,Camps,,
339,MUNDAKAPADAM MANDIRAM HOSPITAL BSU,"MUNDAKAPADAM MANDIRAM HOSPITAL,  MANGANAM P.O, Kottayam, Dist. Kottayam",9072655103,athmabloodcentre.tvmalai@gmail.com,Private,Camps,,
340,Muvattupuzha CoOperative Super Speciality Hospital  and Research Centre,"Near Chalikkadavu Bridge One Way Junction, Muvattupuzha, Dist. Ernakulam",8129988373,lab@avmh.in,Private,Camps,,
341,Nadakkavil Hospital,"Perinthalmanna Road, Valanchery, Dist. Malappuram",9947047335,drramya@bhel.in,Private,Camps,,
342,NEYYAR MEDICITY BLOOD CENTRE,"BLOOD CENTRE NEYYAR MEDICITY, KATTAKADA KILLI, , Thiruvananthapuram, Dist. Thiruvananthapuram",8330899828,bloodcentreghponneri@gmail.com,Private,Camps,,
343,Nirmala Hospital,"Wayanad Road, Marikunnu, Vellimadukunnu, , Marrikunnu, Dist. Kozhikode",9645612613,bbdgl@vadamalayan.org,Private,Camps,,
344,Noor Institute of Medical Specialities Pvt. Ltd.,"Kalikavu Road, Wandoor, Vaniyambalam, Dist. Malappuram",9656102814,cibloodbank3@gmail.com,Private,Camps,,
345,Paalana Institute of Medical Science,"Kannadi, Dist. Palakkad",9447295265,chennaibloodcentreamb@gmail.com,Private,Camps,,
346,Palakkad District Co-operative Hospital,"Rajiv Gandhi Hospital Complex, Kallekkad, Kodunthirapully, , Palakkad, Dist. Palakkad",8289875837,Childjesuslab@gmail.com,Private,Camps,,
347,PIMS BLOOD BANK,"PIMS HOSPITAL , OPP DEER PARK , WALAYAR , PALAKKAD, ADMINISTRATIVE OFFICER , PIMS HOSPITAL , OPP DEER PARK , WALAYAR, PALAKKAD, WALAYAR, Dist. Palakkad",8281159525,clinpath@cmcvellore.ac.in,Private,Camps,,
348,Poyanil Hospital Blood Bank,"Kozhencherry, Dist. Pathanamthitta",9744740372,csimghtry.lab@gmail.com,Private,Camps,,
349,PRS Hospital Private Limitted,"Killipalam, , Trivandrum, Dist. Thiruvananthapuram",9946050662,crescentbloodbank3621@gmail.com,Private,Camps,,
350,Pushpagiri Medical college Blood centre,"Pushpagiri Medical college blood bank, Thiruvalla, Pathanamthitta, , Thiruvalla, Dist. Pathanamthitta",9496538030,blood.dsmc@gmail.com,Private,Camps,,
351,Rahma IQRAA Community Hospital,"Rahma IQRAA Community Hospital Thottilpalam Kozhikode, Thottilpalam, Dist. Kozhikode",8606705844,dctsathy11@gmail.com,Private,Camps,,
352,RCPM Hospital,"Changankulangara Ochira, Dist. Kollam",7012048497,dbrcreports2018@gmail.com,Private,Camps,,
353,"Regional Blood Transfusion Centre, District Hospital","Railway Station Rd, Periyar Nagar, Aluva, Dist. Ernakulam",9447042027,bloodbank@drkmh.com,Govt.,Camps,,
354,Renai Medicity,"No, 35/258/A, Palarivattom P.o, Kochi. Pin 682025, Ernakulam, Dist. Ernakulam",9496013804,bloodbank@relainstitute.com,Private,Camps,,
355,R M Devi Blood Centre,"Ruckmoni Memorial Devi Hospital, Ponnambi, Vellarada, Tiruvandrum, Vellarada, Dist. Thiruvananthapuram",9447508859,leelango@rediffmail.com,Private,Camps,,
356,Sacred Heart Hospital,"Green Gardens, Mathilakom, Cherthala, Alappuzha, Dist. Alappuzha",0484-2590710 0484-2590711 0484-2597373,fimsbloodcentre@gmail.com,Private,Camps,,
357,Samaritan Medical Care Association,"Pazhanganad, Kizhakambalam, , Ernakulam, Dist. Ernakulam",9747574762,blood.bank@mgmhcmalar.in,Private,Camps,,
358,Sanjoe Hospital,"A M Road, Perumbavoor, Ernakulam, Dist. Ernakulam",9895132054,bloodcentre@gangahospital.net,Private,Camps,,
359,Santhi Hospital Blood Centre,"SANTHI HOSPITAL BLOOD BANK , OMASSERY , CALICUT , 673582, Kozhikode, Dist. Kozhikode",9995273019,transfusion.chn@gleneagleglobalhospitals,Private,Camps,,
360,Sara Memorial Medical Laboratory and Blood Centre,"Fort Road, Dist. Kannur",9778657374,bloodbankmanaparai2015@gmail.com,Private,Camps,,
361,Sivagiri Sreenarayana Medical Mission,"Puthenchanda P.O, Varkala, , Dist. Thiruvananthapuram",9746600390,bloodbankkaraipettai@gmail.com,Private,Camps,,
362,Smita Memorial Hospital and Research Centre A Unit of Advani Olickal Healthcare Services Private Ltd,"Vengalloor, Thodupuzha, Idukki, Thodupuzha, Dist. Idukki",9961900824,bloodbankcmch@gmail.com,Private,Camps,,
363,Sree Gokulam Medical College and Research Foundation,"Aalamthara - Bhoothamadakki Road, Venjaramoodu, , Trivandrum, Dist. Thiruvananthapuram",9745331808,bloodbankmannargudi@gmail.com,Private,Camps,,
364,Sree Uthradom Thirunal Academy of Medical Science,"Vattappara, Dist. Thiruvananthapuram",9744398911,cuddalorebloodbank@gmail.com,Private,Camps,,
365,Sri Ramakrishna Ashram Charitable Hospital Blood Centre,"SRI RAMAKRISHNA ASHRAMA CHARITABLE HOSPITAL SASTHAMANGALAM PO.TVM, Thiruvananthapuram, Dist. Thiruvananthapuram",0485-2862391/2862392/2862007/2861294,bloodbank.pgm@gmail.com,Charitable/Vol,Camps,,
366,St James Hospital Chalakudy,"St James Hospital,Chalakudy,Old Highway Thrissur, Chalakudy, Dist. Thrissur",8606433834,bloodbankghpollachi@gmail.com,Private,Camps,,
367,St Joseph Hospital,"Dharmagiri, Kothamangalam, Ernakulam, Dist. Ernakulam",0497-2860223 0497-2860271 0497-2860373,gemchbloodbank@gmail.com,Private,Camps,,
368,St. Josephs Hospital Choondal,"Josephs Hospital Choondal, Thrissur, Kerala, India, Thrissur, Dist. Thrissur",7907933571,esibbcoimbatore@gmail.com,Charitable/Vol,Camps,,
369,St.Martin De Porres Hospital,"ST MARTIN DE PORRES HOSPITAL, CHERUKUNNU, KANNUR, KERALA - 670301, Cherukunnu, Dist. Kannur",8086889627,bloodbankkanchipuram@gmail.com,Private,Camps,,
370,Sunrise Academy of Medical Specialities India Pvt. Ltd.,"Kaduvamuzhi, Erattupetta, Erattupetta, Dist. Kottayam",9744868182,bbghqh. Kum@gmail.com,Private,Camps,,
371,Taluk Head Quarters Hospital,"Ottapalam Cherpulassery Road, Ottapalam, Palakkad District, Dist. Palakkad",9495703827,bbtenkasi12@gmail.com,Govt.,Camps,,
372,Taluk Head Quarters Hospital  Kadakkal,"Kadakkal, Dist. Kollam",04936-221136 9447219192,ambaibloodbank@gmail.com,Govt.,Camps,,
373,Taluk Head Quarters Hospital Kottarakkara,"NH744, Kottarakkara, Taluk head Quarters Hospital, Kottarakkara, Kottakkara, Dist. Kollam",9447338337,gharakkonam@gmail.com,Govt.,Camps,,
374,Taluk Headquarters Hospital Sulthan Bathery,"Police Station Road, Fairland Colony, Sulthan Bathery, Wayanad, Kerala 673592, Wayanad, Dist. Wayanad",0490-2340000 0490-2340800,bloodbankghsvk@gmail.com,Govt.,Camps,,
375,Taluk Hospital Kuttiady,"Taluk Hospital Kuttiady,Kuttiady post,Kozhikode, Kozhikode, Dist. Kozhikode",4962520621,cumbumghbloodbank@gmail.com,Govt.,Camps,,
376,Tellichery Co-Op Hospital,"Palissery,Thalassery, Kannur, Dist. Kannur",0469-2626000 0469-2626262 09747090726,ghgudiyatham@gmail.com,Private,Camps,,
377,THE BADAGARA SAHAKARANA ASUPATHRI,"THE BADAGARA SAHAKARANA ASUPATHRI LTD NO. D.2411, Vatakara, Dist. Kozhikode",9605025370,bloodbankmadurantagam@gmail.com,Private,Camps,,
378,Thiruvalla Medical Mission Hospital,"Thiruvalla - Mallappally Road, , Pathanamthitta, Dist. Pathanamthitta",9562212301,bloodbankghpalani@gmail.com,Private,Camps,,
379,"THQH, Alathur BSU","Taluk hospital Alathur, Palakkad, Palakkad, Dist. Palakkad",0,rjpmghbb@gmail.com,Govt.,Camps,,
380,"THQH,Chavakkad BSU","Thqh. Chavakkad. Chavakkad. P. O. Thrissur, Thrissur, Dist. Thrissur",0,bloodbankskl@gmail.com,Govt.,Camps,,
381,"THQH Haripad,Alappuzha BSU","NA, Alappuzha, Dist. Alappuzha",0,bloodbankchrompetgh@gmail.com,Govt.,Camps,,
382,"THQH Kalpetta,Wayanadu BSU","NA, Wayanad, Dist. Wayanad",8113065881,bloodbanktindivanam@gmail.com,Govt.,Camps,,
383,"THQH,Kayamkulam ( P K Kunjusahib memmorial TH) BSU","NA, Alappuzha, Dist. Alappuzha",0,bbmotiruchengode@gmail.com,Govt.,Camps,,
384,"THQH, Koilandy, Kozhikode BSU","Koyilandy, Kozhikode, Dist. Kozhikode",0,ulundurpetbloodbank@gmail.com,Govt.,Camps,,
385,"THQH,Kottapady Malappuram BSU","NA, Malappuram, Dist. Malappuram",0,iogwch@gmail.com,Govt.,Camps,,
386,"THQH,Kuthuparambu,Kannur BSU","NA, Kannur, Dist. Kannur",0,bloodbankcdm@gmail.com,Govt.,Camps,,
387,"THQH,Nedungolam BSU","NA, Kollam, Dist. Kollam",9946383498,kmchbloodbank@gmail.com,Govt.,Camps,,
388,"THQH,Parassala,Thiruvananthapuram BSU","Parassala, Dist. Thiruvananthapuram",0,bloodbankariyalur@gmail.com,Govt.,Camps,,
389,THQH Peermade,"Peermade , Dist. Idukki",9496403870,kallakurichibs59@gmail.com,Govt.,Camps,,
390,"THQH,Perumbavur,Ernakulam BSU","NA, Ernakulam, Dist. Ernakulam",0,krishnagiribs53@yahoo.in,Govt.,Camps,,
391,"THQH,Thaliparamba BSU","Karimbam, Dist. Kannur",0,ramanathapurambb17@gmail.com,Govt.,Camps,,
392,"THQH Thrippunithura,Ernakulam BSU","NA, Ernakulam, Dist. Ernakulam",8050382440,bloodbankghtrl@gmail.com,Govt.,Camps,,
393,"THQH Vaikom,Kottayam BSU","NA, Kottayam, Dist. Kottayam",9400162905,dindigulbloodbank@gmail.com,Govt.,Camps,,
394,Travancore Medical College Hospital Blood Bank Kollam,"NO. T P.XV/921,Mylapore,kollam, Kollam, Dist. Kollam",8921417892,pudukkottaibb@gmail.com,Charitable/Vol,Camps,,
395,Unity Hospital Pvt Ltd,"Unity Hospital (P) Ltd, Kanippayyur, Kunnamkulam, Thrissur, Kerala, Kunnamkulam, Dist. Thrissur",9745033700,bloodbank90@gmail.com,Private,Camps,,
396,Valiyath Institute of Medical Sciences,"Market Road, Near Thevar Kaavu Sree Devi Temple, Karunagappalli, Karunagapally, Dist. Kollam",9745470452,salemghbloodbank@gmail.com,Private,Camps,,
397,Velankanni Matha Hospital Blood Bank,"Velankanni Matha Hospital Pvt. Ltd. Building No X/387  N, Thellakom, , Ettumanoor, Dist. Kottayam",0,bloodbankmyd@gmail.com,Private,Camps,,
398,V S M Hospital Blood Centre,"Thattarambalam, Mavelikkara, Alappuzha, Dist. Alappuzha",9074602890,bb.rmh.tnjr@gmail.com,Private,Camps,,
399,"WANDC Hospital,Mattancherry BSU","NA, Ernakulam, Dist. Ernakulam",9447187848,stanleyhospitalbb@gmail.com,Govt.,Camps,,
400,West Fort Hospital,"Westfort, , Thrissur, Dist. Thrissur",8098971015,ichbloodbank@gmail.com,Private,Camps,,
401,Women and Children Hospital Alappuzha,"Women  and Children Hospital, Bazar P O , Alappuzha, Beach Bazar, Dist. Alappuzha",9688213113,tnmgrmubloodbank@gmail.com,Govt.,Camps,,
402,Aadhaar Blood Centre,"541,543/338-387,Pushpa Theater Bus stop , Avainsh Road,Tiruppur, Tiruppur, Dist. Tiruppur",8838191520,medicollege.bloodbank@gmail.com,Private,Camps,,
403,Aarthi Hospital AND Diagnostic Centre Blood Bank,"No. 177/A-22/2 Trivandrum High Road Vannarapettai, Tirunelveli, Tirunelveli, Dist. Tirunelveli",0,bloodbankgvmch@gmail.com,Private,Camps,,
404,ABIRAMI BLOOD CENTRE,"46C/2,NORTH EAST,GROUND FLOOR,KOKKALAPPI,THENI MAIN ROAD,VIRATTIPATTHU, MADURAI, Dist. Madurai",0,apkghbb@gmail.com,Charitable/Vol,Camps,,
405,Agestheswaram BSU,"-, Nagercoil, Dist. Kanyakumari",8144901000,govthospitalomalur@gmail.com,Govt.,Camps,,
406,Alanagayam (BSU),Dist. Vellore,0,haemecare@gmail.com,Govt.,Camps,,
407,Alangulam Blood Centre AND Blood Component Centre,"No. 5-H, First Floor, Thuthikulam Road, Alangulam, Tenkasi District., Tenkasi, Dist. Tenkasi",0,helplinebloodbank2017@gmail.com,Private,Camps,,
408,Anchetty BSU,"-, Anchetty, Dist. Krishnagiri",9080620419,hosurbloodcentre2025@gmail.com,Govt.,Camps,,
409,Andimadam BSU,"-, Andimadam, Dist. Ariyalur",9382234490,imabloodbankcbe@gmail.com,Govt.,Camps,,
410,Annai Blood Bank Run by Grace Trust,"117, P.S.R. road, Sivakasi, Virudhunagar District., Sivakasi, Dist. Virudhunagar",8489528650,indianbloodbankdgl@gmail.com,Private,Camps,,
411,Annai Theresa Blood Bank Apheresis Centre Run by Little Roses Trust,"No. 946. First Floor, Bazaar Road, Ram Narag South, Madipakkam, Chennai District, Chennai, Dist. Chennai",4428296525,ircsbb.thanjavur@gmail.com,Charitable/Vol,Camps,,
412,Annapoorana Medical College AND Hospitals Blood Bank,"Annapoorana Medical College and Hospitals Campus, NH47, Sankari Main Road, Kalparapathy Post, Salem, Salem, Dist. Salem",04172269131 9840192969,bloodcentre@imch.in,Private,Camps,,
413,Apollo Hospital Enterprises Ltd,"No, 21 Greams Road, OFF GREAMS LANE, Chennai, Dist. Chennai",7824810478,jamunabloodcentre@gmail.com,Private,Camps,,
414,Apollo Kh Hospital Melvisharam,"2nd floor. SN 158,159,Ranipet- vellore bypass, melvisharam, Dist. Ranipet",9944696707,deanoffice@jrmch.ac.in,Private,Camps,,
415,Apollo Speciality Hospital Blood Centre,"Fourth Floor Geo Towers O.No 319, N.No. 465 Anna Salai Nandanam Chennai, Chennai, Dist. Chennai",0,ktm.hospital@gmail.com,Private,Camps,,
416,Apollo Specialty Hospital Blood Centre Madurai,"No.14 Deputy Collectors Colony Lake View Road K.K. Nagar, Madurai, Dist. Madurai",9487120283,bloodbank@kims.edu.in,Private,Camps,,
417,Arimalam (BSU),Dist. Pudukkottai,9994682601,Jwilliamskbbjw@yahoo.com,Govt.,Camps,,
418,Arogya Blood Centre (A Unit Of Ms Kauvery Hospitals Medical Services Private Limited,"SF. No. 122/2F, Door No. 7, Shanthi Nagar, Denkanikottai Road, Hosur, Krishnagiri, Dist. Krishnagiri",9566154918,kasturbahospitalggm@gmail.com,Private,Camps,,
419,Ashok Blood Centre AND Clinical Laboratory,"Ashok Blood Bank and Clinical Laboratory, No. 63A, Sengodipuram Road 2nd Floor, Dharmapuri District., Dharmapuri, Dist. Dharmapuri",9443158446,bloodbank@kghospital.com,Private,Camps,,
420,Athma Blood Centre A unit of Trisoul Health and Educational Charitable Trust,"Ground Floor, Blood Centre Block, Ramana Maharishi Rangammal Hospital, No. 347, Shiva Nagar, Athiyandal, Sri Ramana Ashrammam Post, Tiruvannamalai District., Tiruvannamalai, Dist. Tiruvannamalai",0,kmchsplbloodbank@gmail.com,Charitable/Vol,Camps,,
421,AVM Hospital Blood Centre,"AVM Hospital Blood Centre, AVM Associates Pvt Ltd, No. 135 Palayamkottai Road, Thoothukudi District., Tuticorin, Dist. Thoothukkudi",0,kmrbloodbank@gmail.com,Private,Camps,,
422,Bairanatham BSU,"-, Bairanatham, Dist. Dharmapuri",9786811455,knhbloodbankcbe@gmail.com,Govt.,Camps,,
423,Belukurichi BSU,"-, Belukurichi, Dist. Namakkal",8056289691,kr.bloodcentre@gmail.com,Govt.,Camps,,
424,"Bharath Heavy Electricals Ltd. ( Main Hospital), Kailasapuram","Kailasapuram, Tirchy, Dist. Tiruchirappalli",8508744477,kumaranhospitalbloodbank@gmail.com,Govt.,Camps,,
425,Blood Centre Government hospital Ponneri,"Blood Centre Government Hospital Ponneri, CEMONC Building First floor, Railway station road, Ponneri , Dist. Thiruvallur",9444573309,Kurinjihospital.project@gmail.com,Govt.,Camps,,
426,Blood Centre Vadamalayan Hospitals Pvt Ltd,"No. 32 fifth floor, survey no 649A/2, Angu Nagar, Chettinaikanpatti village Road, Thanjavur, Dist. Dindigul",8248572297,lifeline.bloodbank@gmail.com,Private,Camps,,
427,Cancer Institute (Wia) Chennai,"first floor, diamond jubliee building, No 38, sardar patel road, Chennai, Dist. Chennai",0,lionsdistrict324b1bloodbank@gmail.com,Private,Camps,,
428,Chennai Blood Centre,"Run by Mercy Educational and Charitable Trust, Plot No.2, NOBURAM, Flat No. G2and F2, Ground Floor and First Floor, Subban Street, Varadharajapuram, Ambattur, Chennai, Chennai, Dist. Chennai",0,info@lionsbloodbank.net,Charitable/Vol,Camps,,
429,Chennai Transfusion And Apheresis Centre (B.R. Speciality Hospital),"20 G.N. Chetty Road, T. Nagar, Chennai, Dist. Chennai",4312410816,bloodbank.salem@manipalhospitals.com,Private,Camps,,
430,Chennimalai BSU,"-, Chennimalai, Dist. Erode",0,marthandambloodcentre@gmail.com,Govt.,Camps,,
431,Child Jesus Hospital,"Contonment, Trichy, Dist. Tiruchirappalli",9840017927,maruthibb.dharmapuri@gmail.com,Private,Camps,,
432,Chinnalapatty BSU,"-, Chinnalapatty, Dist. Dindigul",9944490984,maruthibloodbank@gmail.com,Govt.,Camps,,
433,Christian Medical College Hospital,"Department of Transfusion Medicine , IDA Scudder Road, CMC Vellore, Vellore, Dist. Vellore",9551432630,meenakshibloodcentre@gmail.com,Charitable/Vol,Camps,,
434,Church Of South India Mission General Hospital,"Church of South India Mission General Hospital Blood Bank, Woraiyur, Trichy District., Trichy, Dist. Tiruchirappalli",0,bbmmchri@gmail.com,Charitable/Vol,Camps,,
435,Crescent Blood and Research Centre,"Run by Dolphin Charitable Trust, No. 88, Madurayar Street, Vellipattinam, Ramanathapuram District., Ramanathapuram, Dist. Ramanathapuram",0,bloodbank@mapims.org,Charitable/Vol,Camps,,
436,Csi Rainy Hospital,"No. 45A G.A. Raod, Chennai, Dist. Chennai",8489923825,bloodbank@mgmhealthcare.in,Private,Camps,,
437,Devipattinam (BSU),Dist. Ramanathapuram,9443048948,bloodbank@miotinternational.com,Govt.,Camps,,
